code,sppid,species,scinam,order,family,taxon,display
BEKI,BeltedKingfisher,Belted Kingfisher,Megaceryle alcyon,Coraciiformes,Alcedinidae,birds,Belted Kingfisher
BHCO,BrownheadedCowbird,Brown-headed Cowbird,Molothrus ater,Passeriformes,Icteridae,birds,Brown-headed Cowbird
BHGR,BlackheadedGrosbeak,Black-headed Grosbeak,Pheucticus melanocephalus,Passeriformes,Cardinalidae,birds,Black-headed Grosbeak
BHVI,BlueheadedVireo,Blue-headed Vireo,Vireo solitarius,Passeriformes,Vireonidae,birds,Blue-headed Vireo
BLBW,BlackburnianWarbler,Blackburnian Warbler,Setophaga fusca,Passeriformes,Parulidae,birds,Blackburnian Warbler
BLJA,BlueJay,Blue Jay,Cyanocitta cristata,Passeriformes,Corvidae,birds,Blue Jay
BLPW,BlackpollWarbler,Blackpoll Warbler,Setophaga striata,Passeriformes,Parulidae,birds,Blackpoll Warbler
BLTE,BlackTern,Black Tern,Chlidonias niger,Charadriiformes,Laridae,birds,Black Tern
BNST,BlackneckedStilt,Black-necked Stilt,Himantopus mexicanus,Charadriiformes,Recurvirostridae,birds,Black-necked Stilt
BOBO,Bobolink,Bobolink,Dolichonyx oryzivorus,Passeriformes,Icteridae,birds,Bobolink
BOCH,BorealChickadee,Boreal Chickadee,Poecile hudsonicus,Passeriformes,Paridae,birds,Boreal Chickadee
BOGU,BonapartesGull,Bonaparte's Gull,Chroicocephalus philadelphia,Charadriiformes,Laridae,birds,Bonaparte's Gull
BOOW,BorealOwl,Boreal Owl,Aegolius funereus,Strigiformes,Strigidae,birds,Boreal Owl
BOWA,BohemianWaxwing,Bohemian Waxwing,Bombycilla garrulus,Passeriformes,Bombycillidae,birds,Bohemian Waxwing
BRBL,BrewersBlackbird,Brewer's Blackbird,Euphagus cyanocephalus,Passeriformes,Icteridae,birds,Brewer's Blackbird
BRCR,BrownCreeper,Brown Creeper,Certhia americana,Passeriformes,Certhiidae,birds,Brown Creeper
BRSP,BrewersSparrow,Brewer's Sparrow,Spizella breweri,Passeriformes,Emberizidae,birds,Brewer's Sparrow
BRTH,BrownThrasher,Brown Thrasher,Toxostoma rufum,Passeriformes,Mimidae,birds,Brown Thrasher
BTBW,BlackthroatedBlueWarbler,Black-throated Blue Warbler,Setophaga caerulescens,Passeriformes,Parulidae,birds,Black-throated Blue Warbler
BTNW,BlackthroatedGreenWarbler,Black-throated Green Warbler,Setophaga virens,Passeriformes,Parulidae,birds,Black-throated Green Warbler
BUFF,Bufflehead,Bufflehead,Bucephala albeola,Anseriformes,Anatidae,birds,Bufflehead
BUOW,BurrowingOwl,Burrowing Owl,Athene cunicularia,Strigiformes,Strigidae,birds,Burrowing Owl
BWHA,BroadwingedHawk,Broad-winged Hawk,Buteo platypterus,Accipitriformes,Accipitridae,birds,Broad-winged Hawk
BWTE,BluewingedTeal,Blue-winged Teal,Anas discors,Anseriformes,Anatidae,birds,Blue-winged Teal
BWWA,BluewingedWarbler,Blue-winged Warbler,Vermivora cyanoptera,Passeriformes,Parulidae,birds,Blue-winged Warbler
CACG,CacklingGoose,Cackling Goose,Branta hutchinsii,Anseriformes,Anatidae,birds,Cackling Goose
CAGU,CaliforniaGull,California Gull,Larus californicus,Charadriiformes,Laridae,birds,California Gull
CANG,CanadaGoose,Canada Goose,Branta canadensis,Anseriformes,Anatidae,birds,Canada Goose
CANV,Canvasback,Canvasback,Aythya valisineria,Anseriformes,Anatidae,birds,Canvasback
CAVI,CassinsVireo,Cassin's Vireo,Vireo cassinii,Passeriformes,Vireonidae,birds,Cassin's Vireo
CAWA,CanadaWarbler,Canada Warbler,Cardellina canadensis,Passeriformes,Parulidae,birds,Canada Warbler
CCLO,ChestnutcollaredLongspur,Chestnut-collared Longspur,Calcarius ornatus,Passeriformes,Calcariidae,birds,Chestnut-collared Longspur
CCSP,ClaycoloredSparrow,Clay-colored Sparrow,Spizella pallida,Passeriformes,Emberizidae,birds,Clay-colored Sparrow
CEDW,CedarWaxwing,Cedar Waxwing,Bombycilla cedrorum,Passeriformes,Bombycillidae,birds,Cedar Waxwing
CHIK,DomesticChicken,Domestic Chicken,Gallus Gallus,Galliformes,Phasianidae,birds,Domestic Chicken
CHSP,ChippingSparrow,Chipping Sparrow,Spizella passerina,Passeriformes,Emberizidae,birds,Chipping Sparrow
